North Carolina,2021-02-02,761301,9342,0,7454.696004730239,1.463101223239009
North Carolina,2021-02-03,764217,9409,0,7481.383036806118,1.4700597637155528
North Carolina,2021-02-04,776307,9578,0,7589.002138289959,1.4717358193262329
North Carolina,2021-02-05,781742,9728,0,7641.7390660524725,1.4767716764276295
North Carolina,2021-02-06,786661,9841,0,7686.850256473645,1.484564234101314
North Carolina,2021-02-07,791439,9926,0,7732.044274732836,1.4954114313026576
North Carolina,2021-02-08,796165,9983,0,7777.310912896726,1.4978369386162058
North Carolina,2021-02-09,799175,9991,0,7807.881154215869,1.4920592692025152
North Carolina,2021-02-10,802058,10046,0,7835.710150443147,1.4956548350468029
North Carolina,2021-02-11,805889,10181,0,7875.175491933545,1.518441551451422
North Carolina,2021-02-12,810428,10294,0,7919.9943110973145,1.5281918326693076
North Carolina,2021-02-13,814594,10376,0,7959.515056986699,1.5280323608277246
North Carolina,2021-02-14,818690,10453,0,7999.534128888451,1.5314546349790652
North Carolina,2021-02-15,821891,10491,0,8030.713342489634,1.528236781307546
North Carolina,2021-02-16,824196,10501,0,8053.95868876643,1.5247059077724352
North Carolina,2021-02-17,826340,10562,0,8072.118284960115,1.5306945484011107
North Carolina,2021-02-18,829507,10670,0,8102.676334300186,1.5423857533404117
North Carolina,2021-02-19,833422,10766,0,8141.879009842203,1.5474819835578038
North Carolina,2021-02-20,836649,10820,0,8176.458869118382,1.5484396217041079
North Carolina,2021-02-21,840053,10896,0,8211.859215658984,1.551784568317943
North Carolina,2021-02-22,842637,10926,0,8234.910004110176,1.554132048234514
North Carolina,2021-02-23,844760,10934,0,8253.606279474194,1.5513935953356337
North Carolina,2021-02-24,846281,10965,0,8265.644525159467,1.5555239533524943
North Carolina,2021-02-25,849630,11074,0,8297.056681150138,1.5639472990263925
North Carolina,2021-02-26,852978,11137,0,8329.847941341635,1.5680499674166883
North Carolina,2021-02-27,855904,11186,0,8357.514016930661,1.5685969410995149
North Carolina,2021-02-28,858547,11212,0,8382.520902353242,1.5669706735793663
North Carolina,2021-03-01,858547,11212,0,8382.52090235324,1.5669706735793658
North Carolina,2021-03-02,862163,11254,0,8416.903666769122,1.5646560873681636
North Carolina,2021-03-03,863409,11288,0,8428.548233703337,1.5675411728437643
North Carolina,2021-03-04,865554,11363,0,8448.460311987847,1.5770945480661702
North Carolina,2021-03-05,868012,11399,0,8472.511745379108,1.5773573086690111
North Carolina,2021-03-06,870148,11446,0,8493.155684380412,1.5791687633874816
North Carolina,2021-03-07,872176,11502,0,8513.105193456133,1.581657515987785
North Dakota,2020-05-30,2557,53,0,132.0999353073826,2.3882419851720846
North Dakota,2020-05-31,2580,54,0,135.33415929855093,2.3886678909535983
North Dakota,2020-06-01,2627,55,0,135.9927097032271,2.388092517261462
North Dakota,2020-06-02,2648,55,0,137.15145819612619,2.385181795483871
North Dakota,2020-06-03,2682,65,0,134.91507974458176,2.3407195424609926
